id_web;virtual;downloadable;rating_count;average_rating;total_sales;tax_status;post_parent;menu_order
16043;0;0;0;0;1;;0;0
16247;0;0;0;0;0;;0;0
793;0;0;0;0;4;taxable;0;0
14302;0;0;0;0;7;taxable;0;0
14192;0;0;0;0;0;taxable;0;0
14508;0;0;0;0;0;;0;0
10775;0;0;0;0;0;taxable;0;0
15448;0;0;0;0;1;taxable;0;0
15736;0;0;0;0;0;taxable;0;0
;0;0;0;;;;;
15648;0;0;0;0;3;taxable;0;0
15921;0;0;0;0;0;taxable;0;0
15342;0;0;0;0;1;;0;0
16148;0;0;0;0;1;taxable;0;0
12476;0;0;0;0;0;;0;0
15735;0;0;0;0;0;taxable;0;0
15196;0;0;0;0;0;taxable;0;0
16071;0;0;0;0;0;taxable;0;0
13531;0;0;0;0;1;taxable;0;0
3568;0;0;0;0;10;;0;0
13969;0;0;0;0;0;taxable;0;0
14632;0;0;0;0;0;taxable;0;0
12869;0;0;0;0;0;taxable;0;0
16564;0;0;0;0;3;taxable;0;0
15670;0;0;0;0;0;;0;0
15306;0;0;0;0;2;;0;0
15047;0;0;0;0;5;;0;0
14975;0;0;0;0;0;taxable;0;0
11668;0;0;0;0;0;;0;0
13435;0;0;0;0;10;taxable;0;0
16263;0;0;0;0;12;taxable;0;0
14506;0;0;0;0;0;taxable;0;0
15527;0;0;0;0;0;taxable;0;0
804;0;0;0;0;3;;0;0
14580;0;0;0;0;0;taxable;0;0
15490;0;0;0;0;19;;0;0
16189;0;0;0;0;42;;0;0
15714;0;0;0;0;1;;0;0
13089;0;0;0;0;1;taxable;0;0
14802;0;0;0;0;0;;0;0
14800;0;0;0;0;0;;0;0
16053;0;0;0;0;1;taxable;0;0
14944;0;0;0;0;3;taxable;0;0
16264;0;0;0;0;38;taxable;0;0
11586;0;0;0;0;0;taxable;0;0
14573;0;0;0;0;0;;0;0
15303;0;0;0;0;0;;0;0
15213;0;0;0;0;1;taxable;0;0
15345;0;0;0;0;0;;0;0
15461;0;0;0;0;1;;0;0
14746;0;0;0;0;12;;0;0
13959;0;0;0;0;1;taxable;0;0
15657;0;0;0;0;0;taxable;0;0
16151;0;0;0;0;4;taxable;0;0
14092;0;0;0;0;0;;0;0
15479;0;0;0;0;0;taxable;0;0
15887;0;0;0;0;0;taxable;0;0
15649;0;0;0;0;18;;0;0
8193;0;0;0;0;3;;0;0
;0;0;0;;;;;
15891;0;0;0;0;0;taxable;0;0
15928;0;0;0;0;10;;0;0
bon-cadeau-25-euros;0;0;0;0;10;taxable;0;0
12585;0;0;0;0;12;;0;0
15033;0;0;0;0;12;;0;0
12791;0;0;0;0;0;taxable;0;0
